com_fosnr,Address,Date,Consumption_Base_Load_kWh,Consumption_Cooking_Lighting_etc_kWh,Consumption_EV_Charging_kWh,Consumption_Heat_Pump_kWh,Grid_Feed_In_PV_kWh,Grid_Import_Total_kWh,PV_Production_kWh,Self_Consumption_PV_kWh,is_grid_disturbance,is_price_spike_response
4001,Wynemattestrasse 17,2020-01-01,4.307,10.0802,0,75.4739,0,89.5011,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-02,3.425,10.6772,0,69.44800000000001,0,83.1904,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-03,3.79,6.6096,0,66.4025,0,76.44200000000001,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-04,4.07,8.011800000000001,0,65.236,0,76.9577,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-05,3.662,7.4677,0,65.2599,0,76.0297,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-06,3.77,8.6222,0,67.7129,0,79.74510000000001,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-07,3.966,9.332,0,71.1204,0,84.0583,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-08,3.847,7.0352,0,69.3345,0,79.8565,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-09,3.853,9.4591,0,72.1845,0,85.1362,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-10,3.722,7.4315,0,70.8655,0,81.6589,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-11,3.448,5.1645,0,72.07300000000001,0,80.3253,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-12,3.341,7.688,0,70.0231,0,80.6915,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-13,3.766,8.1397,0,70.6631,0,82.2088,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-14,3.767,8.3865,0,68.7815,0,80.5749,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-15,3.335,6.9474,0,65.5655,0,75.488,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-16,3.884,7.4072000000000005,0,74.9268,0,85.858,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-17,3.52,6.8484,0,67.8005,0,77.8092,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-18,3.435,8.5407,0,68.022,0,79.6373,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-19,3.4656000000000002,8.1977,0,71.8967,0,83.1999,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-20,4.008,10.6414,0,69.5293,0,83.8188,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-21,3.699,7.8803,0,67.4586,0,78.6777,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-22,3.737,9.2977,0,73.9128,0,86.5874,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-23,3.29,9.5588,0,73.94669999999999,0,86.4359,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-24,3.848,9.1339,0,66.3182,0,78.9402,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-25,3.502,7.0344,0,70.5193,0,80.6957,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-26,3.959,8.1593,0,74.1309,0,85.8892,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-27,3.773,9.9898,0,67.2322,0,80.635,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-28,3.3970000000000002,6.8179,0,66.1236,0,75.9785,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-29,3.845,8.6648,0,63.0981,0,75.2481,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-30,3.7319999999999998,8.5462,0,75.9259,0,87.8441,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-01-31,4.212,10.3933,0,67.1335,0,81.379,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-01,3.713,11.5264,0,67.1394,0,82.0184,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-02,3.6470000000000002,8.5076,0,69.8631,0,81.6577,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-03,3.691,9.0005,0,67.4375,0,79.7686,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-04,3.343,9.0964,0,69.1047,0,81.1843,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-05,4.264,9.2431,0,67.6827,0,80.8297,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-06,3.914,9.8851,0,68.6919,0,82.1309,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-07,3.733,8.545,0,63.8423,0,75.7603,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-08,4.006,7.9466,0,70.3073,0,81.89959999999999,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-09,3.7600000000000002,11.0349,0,64.97710000000001,0,79.4121,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-10,3.373,8.969,0,64.5148,0,76.4967,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-11,3.446,11.1381,0,65.0526,0,79.2768,0.36,0.36,0,0
4001,Wynemattestrasse 17,2020-02-12,3.455,7.7975,0,63.7344,0,74.6268,0.36,0.36,0,0
